АЛЕКСАНДРОВНА,FEMALE,798793
НИКОЛАЕВНА,FEMALE,754678
ВЛАДИМИРОВНА,FEMALE,747341
АЛЕКСАНДРОВИЧ,MALE,596164
ВЛАДИМИРОВИЧ,MALE,558292
НИКОЛАЕВИЧ,MALE,524838
ВИКТОРОВНА,FEMALE,457795
СЕРГЕЕВНА,FEMALE,453133
ИВАНОВНА,FEMALE,400375
СЕРГЕЕВИЧ,MALE,381250
АНАТОЛЬЕВНА,FEMALE,375264
ВИКТОРОВИЧ,MALE,354395
ВАСИЛЬЕВНА,FEMALE,328954
МИХАЙЛОВНА,FEMALE,308348
ИВАНОВИЧ,MALE,294579
ЮРЬЕВНА,FEMALE,284212
АНАТОЛЬЕВИЧ,MALE,263385
АЛЕКСЕЕВНА,FEMALE,251620
ЮРЬЕВИЧ,MALE,226724
МИХАЙЛОВИЧ,MALE,219327
ВАСИЛЬЕВИЧ,MALE,218684
ПЕТРОВНА,FEMALE,195919
АЛЕКСЕЕВИЧ,MALE,178807
ВАЛЕРЬЕВНА,FEMALE,174661
ГЕННАДЬЕВНА,FEMALE,160360
ВАЛЕРЬЕВИЧ,MALE,143079
АНДРЕЕВНА,FEMALE,132552
ЕВГЕНЬЕВНА,FEMALE,130429
ПЕТРОВИЧ,MALE,125745
ГЕННАДЬЕВИЧ,MALE,114368
ПАВЛОВНА,FEMALE,112335
БОРИСОВНА,FEMALE,110549
ЕВГЕНЬЕВИЧ,MALE,108700
АНДРЕЕВИЧ,MALE,107137
БОРИСОВИЧ,MALE,99696
ЛЕОНИДОВНА,FEMALE,95841
ДМИТРИЕВНА,FEMALE,87789
ВЯЧЕСЛАВОВНА,FEMALE,87688
ИГОРЕВИЧ,MALE,85868
ВЯЧЕСЛАВОВИЧ,MALE,81687
ИГОРЕВНА,FEMALE,77785
ГРИГОРЬЕВНА,FEMALE,76846
ОЛЕГОВНА,FEMALE,76304
ВАЛЕНТИНОВНА,FEMALE,74818
ДМИТРИЕВИЧ,MALE,71396
ВИТАЛЬЕВНА,FEMALE,71356
ПАВЛОВИЧ,MALE,70431
ФЕДОРОВНА,FEMALE,69307
ОЛЕГОВИЧ,MALE,68422
ЛЕОНИДОВИЧ,MALE,66572
ВАЛЕНТИНОВИЧ,MALE,58854
ВИТАЛЬЕВИЧ,MALE,58211
ГРИГОРЬЕВИЧ,MALE,56924
ГЕОРГИЕВНА,FEMALE,53125
КОНСТАНТИНОВНА,FEMALE,52306
ФЕДОРОВИЧ,MALE,49849
КОНСТАНТИНОВИЧ,MALE,42774
ГЕОРГИЕВИЧ,MALE,34735
СТЕПАНОВНА,FEMALE,30439
ИЛЬИНИЧНА,FEMALE,25775
СЕМЕНОВНА,FEMALE,24622
